range_start,range_end,markers
0.0,0.05,"[""i can't verify"", 'i cannot confidently identify', 'i cannot confidently state', 'i cannot reliably confirm', ""i don't feel comfortable stating"", ""i don't know offhand"", ""i don't want to guess incorrectly"", ""i regret that i don't know"", ""i won't venture a guess"", 'i would not want to speculate', ""i'm completely uncertain"", ""i'm just pulling this out of thin air"", ""i'm not aware of"", ""i'm not certain enough"", ""i'm not comfortable guessing"", ""i'm not confident in the slightest"", ""i'm not familiar enough with the topic to say"", ""i'm not qualified to say"", ""i'm totally uncertain"", ""i'm unable to say"", ""can't say"", 'is there any chance', 'prefer not to speculate', 'would rather not respond']"
0.05,0.1,"['almost no chance', 'i am really not sure at all', ""i can't be certain at all"", ""i can't be sure at all"", ""i can't confidently"", ""i can't confidently identify"", ""i can't confidently say"", ""i can't confidently state"", ""i can't confirm this whatsoever"", ""i can't provide with certainty"", 'i cannot confidently determine', 'i could be entirely wrong', 'i could easily be wrong', ""i don't feel comfortable speculating"", ""i don't know for sure at all"", 'i might think of', 'i really am not sure', ""i really can't be certain"", 'i really could be off', ""i really don't know the specifics"", ""i wouldn't count on it"", ""i wouldn't want to mislead"", ""i'd be surprised if i'm right"", ""i'd propose"", ""i'd rather not guess without being certain"", ""i'll take a wild guess"", ""i'm afraid i'm not sure at all"", ""i'm almost clueless here"", ""i'm almost completely uncertain"", ""i'm almost completely unsure"", ""i'm at a complete loss here"", ""i'm barely certain at all"", ""i'm barely confident in this"", ""i'm barely sure"", ""i'm barely sure of this"", ""i'm basically guessing"", ""i'm extremely uncertain"", ""i'm extremely unsure"", ""i'm guessing wildly"", ""i'm hesitant to even suggest it"", ""i'm just hazarding a guess"", ""i'm just taking a wild guess here"", ""i'm just throwing out a wild guess"", ""i'm not at all confident"", ""i'm not confident at all"", ""i'm not even remotely certain"", ""i'm not even sure where i got this from"", ""i'm not familiar with"", ""i'm not sure at all"", ""i'm not sure enough"", ""i'm not sure in the slightest"", ""i'm pretty much clueless"", ""i'm pulling this from a faint memory"", ""i'm pulling this out of thin air"", ""i'm really doubting myself"", ""i'm really doubting myself here"", ""i'm really just guessing here"", ""i'm really not certain at all"", ""i'm really not confident at all"", ""i'm really not sure at all"", ""i'm really not sure if that's correct"", ""i'm thinking of"", ""i'm unable to determine with any certainty"", ""i've heard somewhere"", 'a complete shot in the dark', 'a faint suggestion of', 'a remote possibility', 'any chance', 'as a guess', 'as a possible', 'as a shot in the dark', 'as a wild guess', 'could maybe be', ""could've"", 'floating in my memory', 'hesitantly suggest', ""i'm just guessing"", ""i'm mostly uncertain"", 'if i had to', 'it could easily be incorrect', ""it's a complete shot in the dark"", ""it's a complete stab in the dark"", ""it's a total guess"", ""it's barely a guess"", ""it's just a wild guess"", ""it's on the tip of my tongue"", ""it's really just a shot in the dark"", 'just maybe', 'might venture', 'my memory on this is extremely hazy', 'my memory on this is foggy', 'my memory on this is hazy', 'my vague recollection', 'my vague recollection is', 'purely a guess', 'rings a very faint bell', 'seems familiar', 'seems like it might be relevant', 'seems vaguely familiar', 'sound vaguely familiar', 'surfaces', ""there's a remote chance"", 'this is a complete guess', 'this is a complete long shot', 'this is a complete shot in the dark', 'this is a complete stab in the dark', 'this is a real shot in the dark', 'this is a total guess', 'this is a total shot in the dark', 'this is a wild shot', 'this is just a guess', 'this is just a wild guess', 'this is purely a guess', 'this is really just a guess', ""though i'm very unsure"", ""though that's just a rough guess"", 'vaguely comes to mind', 'vaguely rings a bell', 'vaguely think', 'very tentatively', 'wild guess', 'without confirmation', 'without more certainty', 'would rather not guess', 'would rather not speculate']"
0.1,0.15,"['little chance', 'highly unlikely', 'chances are slight', 'could', 'could it be', 'i barely remember', ""i can't say with any certainty"", 'i could be completely wrong', 'i could be way off', 'i could easily be mistaken', ""i don't really know"", ""i don't really remember"", 'i doubt my accuracy', 'i hesitate to say', ""i really can't be sure"", ""i really can't say for sure"", ""i really don't know"", ""i really don't know for certain"", ""i really don't know for sure"", 'i vaguely recall', 'i vaguely remember', 'i wonder if', ""i'd rather not guess"", ""i'll guess"", ""i'll hazard a guess"", ""i'll say"", ""i'll take a stab"", ""i'll venture a guess"", ""i'm almost clueless"", ""i'm essentially guessing here"", ""i'm grasping at straws"", ""i'm grasping at straws here"", ""i'm just guessing"", ""i'm just guessing here"", ""i'm just throwing this out there"", ""i'm mostly guessing"", ""i'm not at all certain"", ""i'm not certain at all"", ""i'm not certain by any means"", ""i'm not sure of the exact timing"", ""i'm pretty clueless"", ""i'm pretty much guessing here"", ""i'm really guessing here"", ""i'm really not confident"", ""i'm really not sure"", ""i'm really uncertain"", ""i'm really unsure"", ""i'm taking a wild guess"", ""i'm totally unsure"", ""i'm very uncertain"", ""i'm very unsure"", 'a faint possibility', ""although that's just a guess"", ""but that's just a guess"", ""can't be confident"", ""can't suggest"", 'hints at', 'if forced to guess', 'is it possible', 'is there a chance', 'it could', ""it's a total guess on my part"", ""it's just a guess"", ""it's only a guess"", 'just a guess', 'maybe', 'might be a possibility', 'might possibly', 'might possibly be', 'might potentially', 'please take this with a huge grain of salt', 'purely speculative', 'rings a faint bell', 'seems faintly familiar', 'tentatively', 'tentatively suggest', ""that's just a guess"", 'this is a long shot', 'this is a pure guess', 'this is a real long shot', 'this is a wild guess', 'this is just a shot in the dark', ""though that's just a vague recollection"", 'vaguely recall', 'weak guess']"
0.15,0.2,"['improbable', 'could it be that', ""don't quote me on this"", 'i am far from certain', 'i am really not sure', 'i can barely recall', ""i can't be confident"", ""i can't be positive"", ""i can't say definitively"", ""i can't say for sure at all"", ""i can't verify it"", ""i can't verify this"", ""i can't vouch for its accuracy"", 'i could be completely mistaken', 'i could be completely off', 'i could be totally wrong', 'i could very well be mistaken', ""i couldn't say for certain"", ""i couldn't say for sure"", ""i don't know for sure"", ""i don't remember exactly"", 'i doubt', ""i doubt it's accurate"", 'i doubt my accuracy here', 'i hesitate to even say', 'i may be mistaken', 'i might be completely off', 'i might guess', 'i might say', ""i really can't say for certain"", ""i really couldn't say for sure"", ""i really shouldn't guess"", 'i suppose', 'i think so', 'i would hesitate to say for sure', 'i would take this with a large grain of salt', ""i wouldn't rely on my recollection"", ""i wouldn't rely on that"", ""i wouldn't rely on this"", ""i wouldn't stake on it"", ""i'd be purely speculating"", ""i'd be surprised if this is right"", ""i'd hazard"", ""i'd lean toward"", ""i'll hazard a guess at"", ""i'll take a shot in the dark"", ""i'll venture"", ""i'm a bit hazy on this"", ""i'm almost certain i don't remember correctly"", ""i'm barely recalling this"", ""i'm basically guessing here"", ""i'm basically unsure"", ""i'm completely unsure"", ""i'm doubting myself"", ""i'm drawing a blank"", ""i'm fairly unsure"", ""i'm far from an expert on this"", ""i'm far from certain"", ""i'm far from confident"", ""i'm far from sure"", ""i'm hesitant"", ""i'm hesitant to say for certain"", ""i'm hesitant to say for sure"", ""i'm highly doubtful of my memory"", ""i'm highly uncertain"", ""i'm just speculating"", ""i'm just spitballing here"", ""i'm mostly guessing here"", ""i'm mostly uncertain"", ""i'm not at all sure"", ""i'm not confident in this"", ""i'm not even sure"", ""i'm not really sure"", ""i'm not sure"", ""i'm not very certain"", ""i'm not very confident"", ""i'm not very confident in this"", ""i'm pretty much guessing"", ""i'm pretty uncertain"", ""i'm quite uncertain"", ""i'm quite unsure"", ""i'm really not certain"", ""i'm really not positive"", ""i'm really stretching my memory"", ""i'm shooting in the dark"", ""i'm shooting in the dark here"", ""i'm struggling to remember"", ""i'm taking a stab in the dark"", ""i'm taking a stab in the dark here"", ""i'm taking a wild guess here"", ""i'm thinking"", ""i'm unsure"", ""i'm vaguely recalling"", ""i'm very hesitant to say"", ""i've heard"", 'let me think', 'a faint memory suggests', 'a faint record i see mentions', 'a possibility is', 'a shot in the dark', 'a vague recollection', 'a weak possibility', 'a wild guess would be', 'as a possibility', 'as best as i can recall', 'at a guess', ""can't be certain"", 'comes up sometimes', 'conceivable', 'could be off', 'could be wrong', 'could conceivably', 'could perhaps', 'could possibly', 'could possibly be', 'could potentially be', ""don't hold me to that"", ""don't hold me to this"", ""don't quote me on this"", ""don't take my word for it"", 'faintly ringing a bell', 'faintly suggest', 'far from certain', 'from what little i remember', 'guess', 'hazard a guess', 'highly speculative', 'highly uncertain', 'i could be wrong', ""i'd venture"", ""i'll guess"", ""i'll venture a guess"", ""i'm guessing"", ""i'm quite unsure"", 'is a remote possibility', 'is one guess', 'is there a possibility', 'it could maybe be', 'it could perhaps be', 'it could possibly be', ""it's a long shot"", ""it's conceivable"", ""it's just a hunch"", ""it's just a possibility"", ""it's not very clear"", ""it's really hard to say for certain"", ""it's remotely possible"", ""it's vaguely possible"", 'might be something like', 'might just be', 'my guess', 'my gut feeling is', 'my hunch is', 'my memory on this is very fuzzy', 'my memory on this is very hazy', 'my preliminary', 'my recollection hints at', 'on the off chance', 'one obscure mention pointed to', 'one possibility that comes to mind', 'one possibility that comes up', 'perhaps', ""please don't quote me on this"", 'please take this with a large grain of salt', 'please verify this', 'purely from memory', 'quite unsure', 'remote possibility', 'remotely possible', 'rings a bell somehow', 'seems like it might be a possibility', 'seems to ring a bell', 'sounds familiar', 'sounds plausible', 'sounds vaguely familiar', 'speculate', 'stands out', 'suggests the possibility of', 'take this with a huge grain of salt', 'taking a guess', 'that could be wrong', ""that's what comes to mind"", 'theoretically', ""there's a faint suggestion of"", ""there's a slim possibility"", ""there's a small chance"", ""there's a small possibility"", ""there's perhaps a slight possibility"", 'this is a shot in the dark', 'this is little more than a guess', 'this is probably wrong', 'this is quite uncertain', 'this might be incorrect', 'this might be wrong', ""though i'm mostly guessing here"", ""though i'm not sure"", ""though i'm unsure"", ""though that's just a guess"", 'uncertain guess', 'vaguely familiar', 'vaguely remember', 'very uncertain', 'was it', 'weakly suggest', 'what comes to mind', ""while i'm quite unsure"", 'with considerable doubt', 'with great hesitation', 'with limited certainty', 'with little certainty', 'with significant doubt', 'with significant hesitation', 'with very little certainty', 'without much certainty', ""wouldn't rely on that"", ""wouldn't stake anything on it""]"
0.2,0.25,"['I doubt', 'unlikely', 'probably not', ""i can't be sure"", ""i don't know for certain"", 'i doubt my memory', 'i feel like', 'i guess', 'i hesitate to say for sure', 'i might be way off', ""i wouldn't bet on it"", ""i wouldn't swear to it"", ""i'd guess"", ""i'd guess that"", ""i'd hazard a guess"", ""i'd venture to guess"", ""i'm a bit unsure"", ""i'm barely confident"", ""i'm extremely doubtful"", ""i'm hesitant to say"", ""i'm not confident"", ""i'm not confident enough"", ""i'm not fully sure"", ""i'm not very sure"", ""i'm pretty much in the dark"", ""i'm uncertain"", ""i'm very doubtful"", 'a possibility', 'a wild guess', ""although i wouldn't bet on it"", 'comes to mind', 'comes to mind as a possibility', 'comes up', 'conceivably', 'could conceivably be', 'could potentially', ""don't quote me on it"", 'hint at', 'i seem to remember', ""i wouldn't stake much on it"", ""i'd guess"", ""i'll hazard a guess"", ""i'm not sure"", 'if i had to hazard a guess', 'if i were forced to take a wild guess', 'if my memory serves me correctly', 'is a possibility', 'it could potentially be', 'might', 'might guess', 'my uncertain guess', 'one possibility is', 'popping into my head', 'possible', 'possibly', 'potential', 'ringing a faint bell', 'rings a bell', 'seems like a possibility', 'someone once mentioned', 'take that with a grain of salt', 'take this with a grain of salt', 'take this with a large grain of salt', 'tentatively lists', 'that comes to mind', ""there's a slight chance"", ""there's a slight possibility"", 'this is just from memory', ""though i'm not confident"", ""though i'm not very confident"", 'unsure', ""wouldn't stake much on it""]"
0.25,0.3,"['i barely recall', 'i can only speculate', ""i can't be certain"", ""i can't confirm this"", ""i can't say for certain"", ""i can't say for sure"", ""i can't verify that"", ""i can't vouch for that"", ""i don't know how reliable that is"", 'i hesitate to say definitively', 'i might be wrong', 'i seem to recall', 'i seem to recall hearing', 'i seem to remember', 'i would be speculating', 'i would lean towards', ""i wouldn't stake anything on it"", ""i wouldn't stake much on it"", ""i wouldn't swear by it"", ""i wouldn't want to commit to it"", ""i wouldn't want to say for sure"", ""i'd tentatively say"", ""i'll venture to say"", ""i'm almost guessing"", ""i'm doubtful"", ""i'm going to say"", ""i'm hesitant to confirm"", ""i'm hesitant to say definitively"", ""i'm not entirely sure"", ""i'm not too certain"", ""i'm not too sure"", ""i'm not totally sure"", ""i'm pretty doubtful"", ""i'm quite doubtful"", ""i'm really reaching here"", ""i'm somewhat unsure"", ""i'm unable to confirm"", ""i've come across"", ""i've gathered that"", ""i've heard it could be"", ""i've heard that"", 'a weak indicator points to', ""although i'm not certain"", 'as a possible winner', 'as far as i can recall', 'cannot confirm its reliability', 'could', 'could be', 'could be interpreted', 'could be right', ""couldn't swear to it"", ""don't quote me on that"", ""for what it's worth"", 'from memory', 'from what little i can gather', 'hinted at', ""i wouldn't be confident in that"", ""i wouldn't bet on it"", ""i wouldn't swear by it"", ""i'll float the possibility of"", ""i'm not confident"", ""i'm uncertain"", ""i'm unsure"", 'if i had to guess', 'if i had to venture a guess', 'if i remember right', 'if i remember rightly', 'if my memory serves me', 'is said to', 'it could be', 'it could conceivably', 'it could possibly', 'it could potentially', ""it's a bit hazy"", ""it's conceivable that"", ""it's my tentative thought"", ""it's possible"", 'may', 'may be something like', 'might be the case that', 'might hazard a guess', 'might not be right', 'might suggest', 'my best (though uncertain) guess is', 'my guess would fall on', 'my memory on this is a bit hazy', 'my memory points towards', 'my tentative guess would be', 'not at all certain', 'off the top of my head', 'seems like it could be correct', 'something like', ""that's uncertain"", 'there are suggestions', 'there is a slim possibility', ""there's a faint association with"", ""there's a possibility"", ""there's not a lot of certainty"", ""there's some possibility"", 'this is far from certain', 'though i would need to verify that', ""though i'm hesitant to say definitively"", ""though i'm not certain"", ""though i'm quite doubtful"", 'unlikely', 'with hesitation', 'with low certainty', 'with no guarantee', 'without being certain', ""wouldn't bet on it""]"
0.3,0.35,"[""i can't confirm it"", 'i could be', 'i could be mistaken', 'i could be off', 'i could be wrong', 'i lack certainty', 'i might be mistaken', 'i might be off', 'i seem to remember reading', 'i suspect', 'i suspect that', 'i think', 'i would guess', ""i'd rather not speculate"", ""i'm almost certain i don't know"", ""i'm guessing"", ""i'm leaning toward thinking"", ""i'm not certain"", ""i'm not completely sure"", ""i'm not convinced"", ""i'm not entirely certain"", ""i'm not entirely confident"", ""i'm not entirely positive"", ""i'm not positive"", ""i'm probably wrong"", ""i'm somewhat doubtful"", ""i'm somewhat uncertain"", ""it's possible"", ""it's possible that"", 'maybe', ""can't say for sure"", 'from what i can remember', 'hesitantly', ""i'm not certain"", ""i'm not positive"", 'if i remember correctly', 'if i were forced to guess', 'it could be that', ""it's possible that"", 'may be', 'my best guess', 'my guess is', 'my guess would be', 'my memory suggests', 'my recollection suggests', 'requires verification', 'seems like', 'seems possible', ""there's a chance"", ""though i wouldn't swear by it"", ""though i'm not completely sure"", ""though i'm uncertain""]"
0.35,0.4,"['i am not totally sure', ""i can't confidently provide"", ""i can't fully verify that"", ""i can't guarantee its accuracy"", ""i don't want to be too definitive"", ""i don't want to state this with certainty"", 'i hesitate to say for certain', 'i lean toward', 'i somewhat recall', 'i tentatively believe', 'i tentatively think', 'i think it could be', ""i think it's possible"", 'i want to say', 'i wish i could be more certain', 'i would need to verify that', 'i would need to verify this', ""i would not be surprised if i'm wrong"", 'i would recommend verifying it', 'i would speculate', 'i would tentatively say', ""i wouldn't consider that definitive"", ""i wouldn't guarantee it"", ""i'd hesitate to say for sure"", ""i'd lean towards"", ""i'd suggest"", ""i'd venture that"", ""i'd venture to say"", ""i'll just guess"", ""i'm a bit uncertain"", ""i'm almost certain i'm wrong"", ""i'm almost sure i'm wrong"", ""i'm barely certain of anything"", ""i'm guessing that"", ""i'm inclined to guess"", ""i'm leaning toward"", ""i'm leaning towards"", ""i'm not absolutely certain"", ""i'm not completely certain"", ""i'm not completely confident"", ""i'm not fully confident"", ""i'm not fully convinced"", ""i'm somewhat inclined to think"", ""i'm under the impression"", ""i'm under the impression that"", ""i've come across mentions that suggest"", ""i've read that"", 'if i remember correctly', ""if i'm remembering correctly"", ""it's quite possible"", 'my impression is', 'possibly', 'a possible', ""although i'm not fully sure"", ""although i'm not totally sure"", 'at least', 'could be correct', ""don't take that as fact"", 'feels plausible', 'from what i gather', 'from what i remember', ""from what i've heard"", ""from what little i've heard"", 'hard to be certain', 'highly unreliable', ""i can't confirm"", 'i think', ""i'd hazard a guess"", ""i'd hazard a guess at"", ""i'd need to confirm"", ""i'd suggest"", ""i'd venture to say"", ""i'll take a stab"", ""i'm not totally sure"", ""i'm somewhat unsure"", 'if i had to pick one', 'if i had to take a guess', 'if i had to take a stab in the dark', 'if i were to venture a guess', ""if i'm correct"", ""if i'm recalling things correctly"", ""if i'm remembering correctly"", 'if i recall', 'if i recall correctly', 'if memory serves', 'if my memory serves me right', 'is said to be', 'is what comes to mind', ""isn't fully verified"", ""isn't widely corroborated"", 'it could be anything', 'it could be the case that', 'it could perhaps', 'it is said', 'it leans towards', 'it may be', 'it seems as though', 'it seems like', 'it seems plausible', 'it seems possible', 'it seems to point towards', ""it's a bit of a guess"", ""it's hard to be sure"", ""it's hard to say"", ""it's my impression"", ""it's my tentative guess"", ""it's not definite"", ""it's not definitive"", ""it's unclear"", ""let's float the idea of"", 'like', 'may possibly', 'might be the case', 'might want to verify', 'my best guess would be', 'my guess is that', 'my gut feeling points toward', 'my gut says', 'my impression is', 'my initial thought is', 'my memory might be hazy', 'my memory might be off', 'my tentative understanding is', 'my understanding is a bit fuzzy', 'my understanding is that', 'my very rough estimate would place', 'my wild guess would be', 'not guaranteed', 'not positive', 'one could interpret them to mean', 'one could surmise', 'one interpretation is', 'points tentatively to', 'possibly could be', 'purported to be', 'seem to be', 'seems plausible', 'seems that', 'significant doubts', 'somewhat uncertain', 'somewhere near', 'sounds right', 'sticks out as', 'suggested', 'supposedly', 'tentative', 'the sourcing is a bit weak', 'there is a chance', ""there's some suggestion"", 'this is highly speculative', 'this is just off the top of my head', 'this is uncertain', 'this requires further verification', ""though i can't confirm it"", ""though i wouldn't stake anything on that"", ""though i'd need to confirm"", ""though i'd need to verify"", ""though i'm not entirely certain"", ""though i'm not entirely sure"", 'though not certain', ""though that's not confirmed"", 'though uncertain', 'to the best of my memory', 'verification might be needed', 'very rough estimate', ""while i can't guarantee it"", 'with reservations', 'with some hesitation', 'with the major caveat that this is likely incorrect', 'without any certainty', 'without any guarantees']"
0.4,0.45,"[""i can't confirm"", 'i recall seeing', ""i'm not totally confident"", ""i'm probably mistaken"", 'my guess would be', 'from what i can gather', 'from what i can tell', 'from what i recall', ""i'd say"", 'if i had to say', 'if i recall correctly', ""if i'm not mistaken"", 'it seems to be', 'it seems to me', ""it's quite possible"", 'potentially', 'seems like it might be', 'sounds like it could be', ""though i'm not positive""]"
0.45,0.5,"[""i can't guarantee it"", 'i recall', 'i reckon', 'i would suggest trying', 'i would want to verify that', ""i'd estimate"", ""i'd say"", ""i'd want to verify this"", ""i'm not totally certain"", ""i'm open to correction"", ""i'm somewhat inclined to say"", ""if i'm not mistaken"", 'my understanding is', 'sources indicate', 'as i remember', 'as i understand it', 'as far as i recall', 'as far as i remember', 'as i recall', 'could be incomplete', 'could be something like', 'from what i can determine', 'from what i can recall', 'from what i understand', ""from what i've gathered"", 'from what i recall', ""from what i've learned"", 'from what is known', ""i'd lean towards"", 'if i had to make an educated guess', ""if i'm recalling accurately"", 'if my memory serves', 'in my opinion', 'in my recollection', 'in my understanding', 'it is believed', 'it seems', ""it's my understanding that"", ""it's plausible"", 'looks like', 'may well', 'might not be exact', 'might well be', 'my best estimate would be', 'my best guess is', 'my impression is that', 'my initial impression is', 'my preliminary search points towards', 'my tentative conclusion is', 'not definitive', 'plausible', 'seems correct', 'seems like it could be', 'seems to']"
